grid_id,date,pm2_5,pm10,so2,no2,o3,co,lat,lon,temperature,humidity,relative_humidity,precipitation,wind_speed,gust_speed,atmospheric_pressure,cultivated_area,forest_area,grassland_area,water_body_area,urban_vs_rural,unused_land_area,ocean_area,elevation,aerosol_optical_depth,weekday,day,year,month,population,population_weight
5390,2019-12-01,35.291666666666664,71.25,16.875,43.958333333333336,46.0,0.9708333333333332,23.25,113.0,20.208557,0.005854,7.5,22.9313875,34.61179825,7.290565750000001,9372.78930675,301756736.0,61618252.0,2312763.25,138982144.0,203667776.0,0.0,0.0,9.7273703,0.375,6,1,2019,12,999579.2860107422,0.0006920866191689
23860,2019-12-01,48.25,84.25,24.75,50.5,23.416666666666668,1.0541666666666667,41.75,124.0,-4.44143675,0.00106,43.0,2.90638725,41.36179925,3.890566,25659.989746,140134096.0,329393728.0,1000000.0,20957520.0,85907432.0,0.0,0.0,175.8139954,0.0,6,1,2019,12,487671.8348767757,0.0003376532068914
10137,2019-12-01,33.08333333333333,32.58333333333333,16.791666666666668,30.41666666666667,21.33333333333333,0.3333333333333333,28.0,117.0,5.98356625,0.004761,94.0,20.3563875,66.91180399999999,2.59056575,9779.7893065,133329024.0,536955328.0,5000000.0,4950276.0,1059173.75,0.0,0.0,266.151001,0.0,6,1,2019,12,82499.9989591837,5.712117703936513e-05
21027,2019-12-01,32.458333333333336,49.89583333333333,17.833333333333332,33.33333333333333,57.125,0.7854166666666667,39.0,100.5,-5.7914355,0.0016844999999999,60.0,3.60638725,36.61179824999999,2.34056575,25079.78955075,322087232.0,20199352.0,51939508.0,20354596.0,65814880.0,120675152.0,0.0,1506.829956,0.0,6,1,2019,12,300059.9621858597,0.0002077548901657
18552,2019-12-01,27.5625,43.85416666666667,35.270833333333336,26.375,42.89583333333333,0.7145833333333333,36.5,104.25,-2.36643975,0.001536,46.0,3.98138725,49.36179925,3.01556575,25615.790039,112372024.0,1513941.12,435854976.0,1000000.0,70636536.0,0.0,0.0,1684.890015,0.0,6,1,2019,12,244538.55953478813,0.0001693130973134
10152,2019-12-01,10.541666666666666,18.27777777777778,5.902777777777779,25.38888888888889,25.18055555555556,0.5694444444444444,28.0,120.75,16.908569500000002,0.00688475,67.75,24.106388000000003,63.26180375,5.1905660000000005,9921.78930675,152233520.0,256551168.0,21791442.0,78881624.0,169959552.0,0.0,0.0,98.664299,0.0,6,1,2019,12,2789959.004116535,0.0019317059905122
10357,2019-12-01,18.25,25.9,3.854166666666666,13.875,21.666666666666664,0.8104166666666667,28.25,109.75,4.70856475,0.004349,86.0,15.23138775,70.26180275,2.14056575,10719.58935525,85492440.0,521361216.0,28828124.0,4640381.0,39417624.0,0.0,0.0,311.9370117,0.0,6,1,2019,12,297460.76846408844,0.0002059552658432
10370,2019-12-01,61.59722222222222,41.58101851851852,5.425925925925926,27.14814814814815,34.06111111111111,0.8913888888888888,28.25,113.0,7.83356475,0.0043649999999999,76.0,16.80638775,69.76180275,7.440566,11063.789795,151337648.0,127970048.0,1000000.0,46459256.0,351648320.0,1324492.0,0.0,51.9459,0.0,6,1,2019,12,3559268.745578766,0.0024643590631736
5391,2019-12-01,38.84722222222223,78.04166666666667,13.819444444444445,58.95,39.888888888888886,1.0216666666666667,23.25,113.25,21.2335665,0.0059895,8.0,22.53138775,34.63679875,7.440566,9429.989746,188563392.0,60710184.0,1000000.0,64406216.0,393657888.0,0.0,0.0,17.4974003,0.3115,6,1,2019,12,5835930.774734497,0.0040406695658022
5389,2019-12-01,28.125,59.16666666666666,12.883333333333336,37.583333333333336,50.68333333333334,0.8625,23.25,112.75,19.758560000000003,0.0059745,6.5,22.831388000000004,34.636799,4.54056575,9339.5893555,171507680.0,158603184.0,1090183.38,262919312.0,113217328.0,1000000.0,0.0,35.8168983,0.371,6,1,2019,12,675840.3899078369,0.0004679369581735
